Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),Area_Price,AvgPrice
63.0,1,1,1,1,Shahran,1850000000.0,61666.67,29365079.365079366,2985753846.1538463
60.0,1,1,1,1,Shahran,1850000000.0,61666.67,30833333.333333332,2985753846.1538463
59.0,1,1,1,1,Shahran,2150000000.0,71666.67,36440677.9661017,2985753846.1538463
65.0,1,1,1,1,Shahran,1880000000.0,62666.67,28923076.923076924,2985753846.1538463
72.0,2,1,1,1,Shahran,2350000000.0,78333.33,32638888.888888888,2985753846.1538463
109.0,2,1,1,1,Shahran,3500000000.0,116666.67,32110091.743119266,2985753846.1538463
42.0,1,1,0,1,Shahran,1760000000.0,58666.67,41904761.9047619,2985753846.1538463
42.0,1,1,0,1,Shahran,1760000000.0,58666.67,41904761.9047619,2985753846.1538463
110.0,2,1,1,1,Shahran,3850000000.0,128333.33,35000000.0,2985753846.1538463
58.0,2,1,1,1,Shahran,2200000000.0,73333.33,37931034.48275862,2985753846.1538463
62.0,1,1,1,1,Shahran,1850000000.0,61666.67,29838709.677419353,2985753846.1538463
84.0,2,1,1,1,Shahran,3400000000.0,113333.33,40476190.47619048,2985753846.1538463
82.0,2,1,1,1,Shahran,3550000000.0,118333.33,43292682.92682927,2985753846.1538463
61.0,1,1,1,1,Shahran,1850000000.0,61666.67,30327868.852459017,2985753846.1538463
103.0,2,1,1,1,Shahran,3550000000.0,118333.33,34466019.41747573,2985753846.1538463
60.0,1,1,1,1,Shahran,1850000000.0,61666.67,30833333.333333332,2985753846.1538463
51.0,1,1,1,0,Shahran,2020000000.0,67333.33,39607843.1372549,2985753846.1538463
43.0,1,1,1,1,Shahran,2080000000.0,69333.33,48372093.02325582,2985753846.1538463
109.0,2,1,1,1,Shahran,3500000000.0,116666.67,32110091.743119266,2985753846.1538463
85.0,2,1,1,1,Shahran,3200000000.0,106666.67,37647058.823529415,2985753846.1538463
77.0,2,1,1,1,Shahran,2650000000.0,88333.33,34415584.415584415,2985753846.1538463
118.0,2,1,1,1,Shahran,3900000000.0,130000.0,33050847.457627118,2985753846.1538463
57.0,1,1,1,1,Shahran,1950000000.0,65000.0,34210526.315789476,2985753846.1538463
54.0,2,1,1,0,Shahran,1850000000.0,61666.67,34259259.25925926,2985753846.1538463
90.0,2,1,1,1,Shahran,3170000000.0,105666.67,35222222.222222224,2985753846.1538463
90.0,2,1,1,1,Shahran,3200000000.0,106666.67,35555555.55555555,2985753846.1538463
125.0,3,1,1,1,Shahran,5550000000.0,185000.0,44400000.0,2985753846.1538463
94.0,2,1,1,1,Shahran,4700000000.0,156666.67,50000000.0,2985753846.1538463
74.0,2,1,1,1,Shahran,4100000000.0,136666.67,55405405.4054054,2985753846.1538463
95.0,2,1,1,1,Shahran,4650000000.0,155000.0,48947368.421052635,2985753846.1538463
115.0,2,1,1,1,Shahran,5000000000.0,166666.67,43478260.86956522,2985753846.1538463
65.0,2,1,1,1,Shahran,2150000000.0,71666.67,33076923.076923076,2985753846.1538463
85.0,2,1,1,1,Shahran,3300000000.0,110000.0,38823529.4117647,2985753846.1538463
112.0,3,1,1,1,Shahran,5600000000.0,186666.67,50000000.0,2985753846.1538463
90.0,2,1,1,1,Shahran,2850000000.0,95000.0,31666666.666666668,2985753846.1538463
130.0,2,1,1,1,Shahran,4180000000.0,139333.33,32153846.153846152,2985753846.1538463
110.0,2,1,1,1,Shahran,3410000000.0,113666.67,31000000.0,2985753846.1538463
75.0,2,1,1,1,Shahran,1980000000.0,66000.0,26400000.0,2985753846.1538463
75.0,2,1,1,1,Shahran,2400000000.0,80000.0,32000000.0,2985753846.1538463
50.0,1,1,1,1,Shahran,1850000000.0,61666.67,37000000.0,2985753846.1538463
80.0,2,1,1,1,Shahran,3550000000.0,118333.33,44375000.0,2985753846.1538463
85.0,2,1,1,1,Shahran,2380000000.0,79333.33,28000000.0,2985753846.1538463
44.0,1,1,1,0,Shahran,1390000000.0,46333.33,31590909.09090909,2985753846.1538463
65.0,1,1,1,1,Shahran,2220000000.0,74000.0,34153846.15384615,2985753846.1538463
56.0,1,1,1,1,Shahran,1900000000.0,63333.33,33928571.428571425,2985753846.1538463
65.0,1,1,1,1,Shahran,1880000000.0,62666.67,28923076.923076924,2985753846.1538463
89.0,2,1,1,1,Shahran,3190000000.0,106333.33,35842696.62921348,2985753846.1538463
45.0,1,0,1,0,Shahran,1580000000.0,52666.67,35111111.11111111,2985753846.1538463
56.0,1,1,1,1,Shahran,2450000000.0,81666.67,43750000.0,2985753846.1538463
108.0,2,1,1,1,Shahran,4300000000.0,143333.33,39814814.81481481,2985753846.1538463
91.0,2,1,1,1,Shahran,3350000000.0,111666.67,36813186.81318682,2985753846.1538463
105.0,2,1,1,1,Shahran,3750000000.0,125000.0,35714285.71428572,2985753846.1538463
75.0,2,1,1,1,Shahran,3650000000.0,121666.67,48666666.666666664,2985753846.1538463
84.0,3,1,1,1,Shahran,3050000000.0,101666.67,36309523.809523806,2985753846.1538463
103.0,2,0,1,0,Shahran,3220000000.0,107333.33,31262135.922330096,2985753846.1538463
58.0,1,1,1,1,Shahran,2850000000.0,95000.0,49137931.03448276,2985753846.1538463
119.0,2,1,1,1,Shahran,4700000000.0,156666.67,39495798.319327734,2985753846.1538463
69.0,2,1,1,0,Shahran,1850000000.0,61666.67,26811594.20289855,2985753846.1538463
85.0,2,1,1,1,Shahran,2650000000.0,88333.33,31176470.588235293,2985753846.1538463
103.0,3,1,1,1,Shahran,4128000000.0,137600.0,40077669.902912624,2985753846.1538463
50.0,2,1,1,0,Shahran,1820000000.0,60666.67,36400000.0,2985753846.1538463
117.0,2,1,1,1,Shahran,3880000000.0,129333.33,33162393.162393164,2985753846.1538463
79.0,2,1,1,1,Shahran,2950000000.0,98333.33,37341772.151898734,2985753846.1538463
119.0,2,1,1,1,Shahran,5400000000.0,180000.0,45378151.2605042,2985753846.1538463
115.0,2,1,1,1,Shahran,3840000000.0,128000.0,33391304.347826086,2985753846.1538463
95.0,2,1,1,1,Shahran,5000000000.0,166666.67,52631578.94736842,2985753846.1538463
83.0,3,1,1,1,Shahran,3100000000.0,103333.33,37349397.590361446,2985753846.1538463
70.0,2,1,1,0,Shahran,2550000000.0,85000.0,36428571.428571425,2985753846.1538463
73.0,2,1,1,0,Shahran,2580000000.0,86000.0,35342465.75342466,2985753846.1538463
67.0,2,1,1,1,Shahran,2300000000.0,76666.67,34328358.20895522,2985753846.1538463
94.0,2,1,1,1,Shahran,2280000000.0,76000.0,24255319.14893617,2985753846.1538463
90.0,2,1,1,1,Shahran,3200000000.0,106666.67,35555555.55555555,2985753846.1538463
75.0,2,1,1,1,Shahran,3500000000.0,116666.67,46666666.666666664,2985753846.1538463
110.0,2,1,1,1,Shahran,3920000000.0,130666.67,35636363.63636363,2985753846.1538463
92.0,2,1,1,1,Shahran,2700000000.0,90000.0,29347826.086956523,2985753846.1538463
51.0,2,1,1,0,Shahran,1850000000.0,61666.67,36274509.803921565,2985753846.1538463
82.0,2,1,1,1,Shahran,2850000000.0,95000.0,34756097.56097561,2985753846.1538463
75.0,2,1,1,1,Shahran,3110000000.0,103666.67,41466666.666666664,2985753846.1538463
116.0,2,1,1,1,Shahran,4640000000.0,154666.67,40000000.0,2985753846.1538463
115.0,2,1,1,1,Shahran,4500000000.0,150000.0,39130434.782608695,2985753846.1538463
42.0,1,1,0,1,Shahran,1750000000.0,58333.33,41666666.666666664,2985753846.1538463
72.0,2,1,1,0,Shahran,2600000000.0,86666.67,36111111.11111111,2985753846.1538463
96.0,2,1,1,1,Shahran,3500000000.0,116666.67,36458333.333333336,2985753846.1538463
55.0,2,1,1,0,Shahran,1870000000.0,62333.33,34000000.0,2985753846.1538463
66.0,1,0,1,0,Shahran,1850000000.0,61666.67,28030303.03030303,2985753846.1538463
74.0,2,1,1,1,Shahran,2390000000.0,79666.67,32297297.2972973,2985753846.1538463
69.0,2,1,1,1,Shahran,2600000000.0,86666.67,37681159.42028985,2985753846.1538463
119.0,2,1,1,1,Shahran,4000000000.0,133333.33,33613445.37815126,2985753846.1538463
119.0,3,1,1,1,Shahran,5500000000.0,183333.33,46218487.39495798,2985753846.1538463
82.0,2,1,1,1,Shahran,2800000000.0,93333.33,34146341.46341463,2985753846.1538463
